release_year	total_titles
2021	592
2020	953
2019	1030
2018	1147
2017	1032
2016	902
2015	560
2014	352
2013	288
2012	237
2011	185
2010	194
2009	152
2008	136
2007	88
2006	96
2005	80
2004	64
2003	61
2002	51
2001	45
2000	37
1999	39
1998	36
1997	38
1996	24
1995	25
1994	22
1993	28
1992	23
1991	17
1990	22
1989	16
1988	18
1987	8
1986	13
1985	10
1984	12
1983	11
1982	17
1981	13
1980	11
1979	11
1978	7
1977	7
1976	9
1975	7
1974	7
1973	10
1972	5
1971	5
1970	2
1969	2
1968	3
1967	5
1966	1
1965	2
1964	2
1963	2
1962	3
1961	1
1960	4
1959	1
1958	3
1956	2
1955	3
1954	2
1947	1
1946	2
1945	4
1944	3
1943	3
1942	2
1925	1
